iter	Logloss
0	0.6891817053
1	0.6844076555
2	0.6808092403
3	0.6776145848
4	0.6739237432
5	0.6706501116
6	0.6677102461
7	0.6646800084
8	0.6616269344
9	0.6585493968
10	0.6554672574
11	0.6527116547
12	0.6499768046
13	0.6468774307
14	0.6439613927
15	0.6418024769
16	0.6397791493
17	0.6370610138
18	0.6355289922
19	0.6334054614
20	0.6320258584
21	0.6303868463
22	0.6282086835
23	0.6264815492
24	0.6248423693
25	0.623153846
26	0.6217031344
27	0.6205015105
28	0.6189434011
29	0.6182295435
30	0.6169879313
31	0.6157625825
32	0.6147599588
33	0.61302259
34	0.6118765672
35	0.6108026993
36	0.6094949329
37	0.6077818408
38	0.6067212033
39	0.6052760788
40	0.6042487086
41	0.603297448
42	0.6025542616
43	0.6016471314
44	0.6009087864
45	0.5996919632
46	0.5984595464
47	0.5975048608
48	0.5968728279
49	0.5962618884
50	0.5953732475
51	0.594130414
52	0.5934308269
53	0.5925575619
54	0.5917844211
55	0.5907780248
56	0.5899953704
57	0.5892788479
58	0.5882844798
59	0.5877162591
60	0.5869286737
61	0.5860519616
62	0.5855605569
63	0.5848611673
64	0.5841287169
65	0.5833140149
66	0.5828002315
67	0.5820895752
68	0.5813294827
69	0.5807095286
70	0.5799867884
71	0.579435416
72	0.5788799394
73	0.5781604734
74	0.5775606927
75	0.5768644074
76	0.5761435996
77	0.5756773238
78	0.5747485016
79	0.5739370397
80	0.5732337608
81	0.572385517
82	0.5716933474
83	0.5711976146
84	0.5708106649
85	0.5703491244
86	0.5698194249
87	0.5691312152
88	0.568586638
89	0.5680448696
90	0.5675337035
91	0.5672200891
92	0.5666229064
93	0.5662396368
94	0.5658573931
95	0.5654581078
96	0.5648495295
97	0.5642238822
98	0.5637812797
99	0.5634745746
100	0.5630470541
101	0.5627263256
102	0.5623289179
103	0.5619495888
104	0.5617734973
105	0.5614159124
106	0.5609030638
107	0.5604705456
108	0.5602279311
109	0.5600139525
110	0.5595629718
111	0.5592156778
112	0.558949807
113	0.5584228269
114	0.5580092853
115	0.5576093447
116	0.5572348553
117	0.5568403887
118	0.5565240731
119	0.5560270275
120	0.5555910351
121	0.5550976138
122	0.5547818046
123	0.5545340756
124	0.5543204281
125	0.5539450347
126	0.553694738
