iter	Logloss
0	0.6820073128
1	0.6731623354
2	0.6638478547
3	0.6564402925
4	0.649058361
5	0.6435382886
6	0.6356548106
7	0.6284966099
8	0.6220506027
9	0.6185473575
10	0.6117192003
11	0.6070898853
12	0.6011287507
13	0.596903919
14	0.5928689696
15	0.5883058276
16	0.5844090846
17	0.5816785056
18	0.5782348242
19	0.5748286658
20	0.5713439041
21	0.5681060143
22	0.5651375159
23	0.5623971228
24	0.5595028694
25	0.5566781385
26	0.5531999849
27	0.5497066266
28	0.5481041484
29	0.5448804974
30	0.5426953831
31	0.5400489014
32	0.537570628
33	0.5352860825
34	0.5328417411
35	0.5305536802
36	0.5284762508
37	0.5263635665
38	0.5245207376
39	0.5218086187
40	0.5194049285
41	0.5185131034
42	0.517375322
43	0.5162395908
44	0.5147782262
45	0.5127821111
46	0.512010566
47	0.510880329
48	0.509083977
49	0.5078079752
50	0.5063571814
51	0.5049639019
52	0.5036618334
53	0.5022052708
54	0.5012016625
55	0.4996881749
56	0.4985811102
57	0.497420979
58	0.4963534565
59	0.4956714199
60	0.4942495629
61	0.4931339949
62	0.492442195
63	0.4914941959
64	0.490225335
65	0.4893164968
66	0.487610115
67	0.4860354338
68	0.4849746934
69	0.4841140912
70	0.4829088048
71	0.4815082098
72	0.4813700557
73	0.4799251084
74	0.4790848944
75	0.4785315388
76	0.4778437468
77	0.4772964654
78	0.4760342193
79	0.4756731129
80	0.4751662743
81	0.4745717904
82	0.4737581768
83	0.4728504982
84	0.4717046967
85	0.4703530914
86	0.4693071388
87	0.468592963
88	0.4676278691
89	0.4667923613
90	0.465717365
91	0.4649066333
92	0.4642709503
93	0.4638394934
94	0.463227977
95	0.4622868385
96	0.4619174374
97	0.4614991906
98	0.4607727559
99	0.46011102
100	0.4598820073
101	0.4590744317
102	0.4584761935
103	0.4577404661
104	0.4572798676
105	0.4561574766
106	0.4552885929
107	0.454496499
108	0.4539102443
109	0.4536777968
110	0.4525189189
111	0.4517879744
112	0.451371161
113	0.4503417047
114	0.4495633678
115	0.4488165223
116	0.4485455912
117	0.4477791042
118	0.4470989745
