model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr
NRF q0.5 T5 b0.5,0.785265529882622,0.752235970149427,0.8173799894862749,0.3175012596408873,0.26509812036375585,0.3816724887207919,0.4066390041493776,0.6878552450139576,0.1109202092037284,0.2902881036943251,0.19000000000000003
NRF q0.5 T3 b0.3,0.7843641744862611,0.7503233023304788,0.8157333765650696,0.3089094644848702,0.2583987899682707,0.3695295204361977,0.4202020202020202,0.702979854034238,0.11053260717683389,0.3101580500473756,0.20000000000000004
NRF q0.7 T5 b0.3,0.7831298557158713,0.7492526026535707,0.8156714531190098,0.3164844563279249,0.26470439872927326,0.38104794243052115,0.4132231404958678,0.6941445531900582,0.11145017536218747,0.2994709660735497,0.19000000000000003
NRF q0.5 T5 b0.0,0.7829818719940806,0.7501564969476693,0.8152721180519626,0.31781226769881477,0.26544166411974673,0.38073907972336163,0.40842105263157896,0.6879191470756398,0.11041351803411592,0.29226180090071235,0.20000000000000004
NRF q0.5 T10 b0.3,0.7811320754716982,0.7466257997799179,0.8138425708224417,0.3093624425034978,0.2599547392746809,0.3734002094521599,0.4231536926147705,0.7071301247771835,0.11054662290526203,0.31496018489730704,0.18000000000000002
NRF q0.5 T5 b0.3,0.7800188342918642,0.7464184962628456,0.8118645363588908,0.31341650344045763,0.2612417572470505,0.3787518110358604,0.4025423728813559,0.6821645982578279,0.11085397149933156,0.2841192488993858,0.21000000000000002
