set,n,AUC,ECE,MCE,Brier
TEST,1094,0.7843709010190697,0.03205262640112101,0.07366567001048441,0.10997447633101892
CV OOF,4375,0.7713795605907509,7.628818212067147e-18,2.7755575615628914e-17,0.10858300315441617
