,RF,NRBoost,MTMLP,SVM
RF,1.0,0.8969767402610823,0.8928697433805445,0.8795607311207686
NRBoost,0.8969767402610822,1.0,0.7821318914659136,0.8364442169577896
MTMLP,0.8928697433805446,0.7821318914659136,1.0,0.8472814229619261
SVM,0.8795607311207687,0.8364442169577896,0.8472814229619262,1.0
