baseline,AUC,ECE,MCE,Brier
LR,0.7665153196784718,0.01826436077325319,0.054131054131054145,0.11052009473041241
RF,0.780856287626543,0.02502093317514246,0.11059941605706286,0.10957334857857036
XGB,0.7533884909023644,0.025001883812926944,0.06594103338889235,0.11280498758777478
LGBM,0.7593952847005011,0.027301767383588103,0.06187512240501372,0.11203376471003823
CatBoost,0.7600881175797936,0.012393867345451223,0.050420351325317914,0.11069752347568294
kNN,0.75859482729627,0.022872885733487367,0.05211677374136542,0.11167097310561712
SVM,0.7638751555510713,0.01851981710173031,0.08386271563611467,0.1106597316586304
Phase6-Champion,0.7843709010190697,0.03205262640112101,0.07366567001048441,0.10997447633101892
