calibrator,T,AUC_test,ECE_test,MCE_test,Brier_test,tau_star,BalAcc_oof,BalAcc_test,ECE_oof,Brier_oof
identity,,0.7860491709548313,0.033511555043662364,0.08974763329058816,0.11010769082721239,0.15455,0.7041095608511339,0.7134429758181144,0.011070081894737757,0.10969850950475302
isotonic,,0.7843709010190697,0.03205269312872562,0.07366567001048441,0.10997447633108602,0.13115000000000002,0.7049121290694325,0.7139777351764033,6.262857143624683e-08,0.1085830031544788
platt,,0.7860491709548313,0.03340208590603034,0.08600182300929565,0.11005122191286923,0.1565,0.7041448385750151,0.7145124945346921,0.010824778182841367,0.10967889499619367
beta,,0.7860491709548313,0.025439992616625433,0.06021429964140801,0.10910094560894464,0.1643,0.7040919219891932,0.7160528705478761,0.007409772224873061,0.10945899178959696
temperature,1.0044464168188278,0.7860491709548313,0.03331379435874134,0.08998419717764061,0.11009470820479916,0.15455,0.7044755672364018,0.7160528705478761,0.01089521174117422,0.1096921481298698
