metric,benchmark,our_point,our_lo,our_hi,our_1s_lower,BORF,delta,p_one_sided
AUC,BORF 2024,0.7843709010190697,0.7496536346876628,0.815673659774846,0.7564392406059626,0.69,0.09437090101906975,0.0
Sensitivity @ thr=0.135 (Bal-Acc-optimal),BORF 2024,0.7295597484276729,0.6619155907668232,0.7987456519447665,0.6714097744360902,0.681,0.048559748427672855,0.086
Sensitivity @ thr=0.185 (F1-optimal),BORF 2024,0.6792452830188679,0.6089673913043477,0.7500378787878788,0.618175505050505,0.681,-0.001754716981132165,0.517
