algo,success,n_k,actionability,sparsity,proximity,plausibility,diversity,mean_cost,mean_dprob,success_rate
HR-CF,0.6154,1.9808,1.0,4.5969,9.3918,3.0071,1.1874,13900.1865,0.3091,0.6154
soft-CF,1.0,5.0,0.0,9.0962,18.1042,5.3619,4.0258,4090.1294,0.3708,1.0
