emp_id,cf_idx,p0,p_cf,dp,cost_yuan,dp_per_kyuan,n_changes,Δ_收入水平,Δ_工作匹配度,Δ_工作满意度,Δ_工作机会,Δ_工作压力,Δ_工作氛围
935,0,0.4432234432234432,0.045662100456621,0.3975613427668222,11624.0,0.03420176432940966,4,3999.0,3.75,0.5,0.75,0.0,0.0
935,1,0.4432234432234432,0.045662100456621,0.3975613427668222,12511.0,0.03177694117096004,5,11.0,4.0,1.0,1.0,-1.0,0.0
935,2,0.4432234432234432,0.045662100456621,0.3975613427668222,13829.0,0.028748377613597845,5,1329.0,4.0,1.0,1.0,-1.0,0.0
935,3,0.4432234432234432,0.045662100456621,0.3975613427668222,13160.0,0.030209826182142557,5,660.0,4.0,1.0,1.0,-1.0,0.0
935,4,0.4432234432234432,0.045662100456621,0.3975613427668222,13488.0,0.029475186335382257,5,988.0,4.0,1.0,1.0,-1.0,0.0
941,0,0.3402061855670103,0.045662100456621,0.2945440851103893,14583.3330078125,0.020197307759158355,4,4000.0,2.0,1.8333332538604736,3.0,0.0,0.0
944,0,0.3402061855670103,0.045662100456621,0.2945440851103893,8386.333984375,0.03512190792034532,4,678.0,2.5,1.4166667461395264,0.41666650772094727,0.0,0.0
944,1,0.3402061855670103,0.045662100456621,0.2945440851103893,10457.333984375,0.028166266601432132,4,4999.0,2.0,0.9166667461395264,0.16666650772094727,0.0,0.0
944,2,0.3402061855670103,0.045662100456621,0.2945440851103893,8591.333984375,0.034283855261850994,4,8.0,2.5,1.6666667461395264,0.6666665077209473,0.0,0.0
944,3,0.3402061855670103,0.045662100456621,0.2945440851103893,8393.3330078125,0.0350926205052996,4,435.0,2.5,1.4166667461395264,0.6666665077209473,0.0,0.0
944,4,0.3402061855670103,0.045662100456621,0.2945440851103893,8953.333984375,0.03289769517441443,4,370.0,2.5,1.6666667461395264,0.6666665077209473,0.0,0.0
950,0,0.3402061855670103,0.045662100456621,0.2945440851103893,11666.6669921875,0.025246632998181542,4,4000.0,2.25,1.4166667461395264,0.75,0.0,0.0
950,1,0.3402061855670103,0.045662100456621,0.2945440851103893,15234.6669921875,0.01933380400947593,5,318.0,2.5,1.6666667461395264,1.0,-2.0,0.0
950,2,0.3402061855670103,0.045662100456621,0.2945440851103893,13167.6669921875,0.02236873570059217,5,1251.0,2.5,1.6666667461395264,1.0,-1.0,0.0
950,3,0.3402061855670103,0.045662100456621,0.2945440851103893,12754.6669921875,0.023093042115310543,5,838.0,2.5,1.6666667461395264,1.0,-1.0,0.0
950,4,0.3402061855670103,0.045662100456621,0.2945440851103893,15563.6669921875,0.018925107195697167,5,647.0,2.5,1.6666667461395264,1.0,-2.0,0.0
954,0,0.36,0.045662100456621,0.314337899543379,14233.3330078125,0.022084628897968868,5,2900.0,3.0,1.0,1.3333332538604736,-1.0,0.0
957,0,0.3402061855670103,0.045662100456621,0.2945440851103893,18533.333984375,0.01589266504699301,6,4200.0,1.5,2.1666667461395264,1.6666667461395264,-1.0,1.0
963,0,0.3402061855670103,0.045662100456621,0.2945440851103893,10338.666015625,0.0284895610493345,4,172.0,2.0,2.3333332538604736,1.3333332538604736,0.0,0.0
963,1,0.3402061855670103,0.046632124352331605,0.2935740612146787,11765.666015625,0.024951756736342066,4,4099.0,1.5,1.8333332538604736,0.8333332538604736,0.0,0.0
963,2,0.3402061855670103,0.045662100456621,0.2945440851103893,13171.666015625,0.022361944373554536,5,5.0,2.0,2.3333332538604736,1.3333332538604736,-1.0,0.0
963,3,0.3402061855670103,0.045662100456621,0.2945440851103893,10793.666015625,0.027288602166808087,4,877.0,2.0,2.3333332538604736,1.0833332538604736,0.0,0.0
963,4,0.3402061855670103,0.045662100456621,0.2945440851103893,10969.666015625,0.02685077721054303,4,803.0,2.0,2.3333332538604736,1.3333332538604736,0.0,0.0
964,0,0.3402061855670103,0.045662100456621,0.2945440851103893,11125.0,0.02647587043905788,4,3500.0,1.75,1.3333332538604736,1.6666667461395264,0.0,0.0
964,1,0.3402061855670103,0.045662100456621,0.2945440851103893,12405.0,0.023743979150859348,5,1405.0,2.0,1.3333332538604736,1.6666667461395264,-1.0,0.0
968,0,0.3402061855670103,0.046632124352331605,0.2935740612146787,10673.3330078125,0.027505375639869697,4,1090.0,2.0,1.8333332538604736,2.0,0.0,0.0
968,1,0.3402061855670103,0.045662100456621,0.2945440851103893,15127.3330078125,0.019470984441691597,6,544.0,2.0,1.8333332538604736,2.0,-1.0,1.0
968,2,0.3402061855670103,0.045662100456621,0.2945440851103893,13510.3330078125,0.021801391804234148,5,927.0,2.0,1.8333332538604736,2.0,-1.0,0.0
968,3,0.3402061855670103,0.045662100456621,0.2945440851103893,12333.3330078125,0.023881951540744097,4,4000.0,1.75,1.5833332538604736,1.75,0.0,0.0
968,4,0.3402061855670103,0.045662100456621,0.2945440851103893,15489.3330078125,0.019015929604321746,6,906.0,2.0,1.8333332538604736,2.0,-1.0,1.0
981,0,0.3333333333333333,0.046632124352331605,0.2867012089810017,11250.0,0.025484549644129075,4,3500.0,1.25,1.25,2.75,0.0,0.0
981,1,0.3333333333333333,0.045662100456621,0.2876712328767123,17549.0,0.01639245634989207,6,549.0,1.5,1.5,3.0,-2.0,1.0
981,2,0.3333333333333333,0.045662100456621,0.2876712328767123,13630.0,0.021105738207701695,5,1630.0,1.5,1.5,3.0,-1.0,0.0
981,3,0.3333333333333333,0.045662100456621,0.2876712328767123,15773.0,0.018238205454796607,5,773.0,1.5,1.5,3.0,-2.0,0.0
981,4,0.3333333333333333,0.045662100456621,0.2876712328767123,18135.0,0.015862763551913357,6,1135.0,1.5,1.5,3.0,-2.0,1.0
982,0,0.3402061855670103,0.045662100456621,0.2945440851103893,14916.6669921875,0.019745970431510225,5,2500.0,1.5,1.6666667461395264,3.0,-1.0,0.0
988,0,0.36,0.045662100456621,0.314337899543379,16500.0,0.01905078063591505,5,4000.0,3.0,2.0,1.0,0.0,1.0
988,1,0.36,0.045662100456621,0.314337899543379,20025.0,0.015697272601553378,6,1525.0,3.0,2.0,1.0,-2.0,1.0
994,0,0.3402061855670103,0.045662100456621,0.2945440851103893,20790.66796875,0.014167128799612561,5,4999.0,3.0,2.75,2.4166667461395264,0.0,1.0
1007,0,0.3402061855670103,0.045662100456621,0.2945440851103893,10416.6669921875,0.02827622857244729,4,1500.0,1.5,2.0,1.6666667461395264,0.0,0.0
1007,1,0.3402061855670103,0.045662100456621,0.2945440851103893,12800.6669921875,0.02301005582600497,5,884.0,1.5,2.0,1.6666667461395264,-1.0,0.0
1007,2,0.3402061855670103,0.045662100456621,0.2945440851103893,10666.6669921875,0.02761350454763567,4,3000.0,1.25,1.75,1.4166667461395264,0.0,0.0
1007,3,0.3402061855670103,0.045662100456621,0.2945440851103893,12848.6669921875,0.022924094955950595,5,932.0,1.5,2.0,1.6666667461395264,-1.0,0.0
1007,4,0.3402061855670103,0.045662100456621,0.2945440851103893,12824.6669921875,0.02296699495767212,5,908.0,1.5,2.0,1.6666667461395264,-1.0,0.0
1009,0,0.4432234432234432,0.045662100456621,0.3975613427668222,11459.3330078125,0.03469323282625163,4,1126.0,2.5,1.8333332538604736,2.0,0.0,0.0
1009,1,0.4432234432234432,0.045662100456621,0.3975613427668222,14362.3330078125,0.027680831162300343,5,1029.0,2.5,1.8333332538604736,2.0,-1.0,0.0
1009,2,0.4432234432234432,0.045662100456621,0.3975613427668222,11983.3330078125,0.033176188071502744,4,2900.0,2.25,1.5833332538604736,1.75,0.0,0.0
1009,3,0.4432234432234432,0.045662100456621,0.3975613427668222,11700.3330078125,0.03397863193489726,4,1367.0,2.5,1.8333332538604736,2.0,0.0,0.0
1009,4,0.4432234432234432,0.045662100456621,0.3975613427668222,11463.3330078125,0.03468112701731241,4,1130.0,2.5,1.8333332538604736,2.0,0.0,0.0
1013,0,0.3402061855670103,0.046632124352331605,0.2935740612146787,9091.3330078125,0.03229163739473221,3,1008.0,2.75,1.5833332538604736,0.0,0.0,0.0
1013,1,0.3402061855670103,0.045662100456621,0.2945440851103893,11082.3330078125,0.026577802555197334,3,4999.0,2.25,1.0833332538604736,0.0,0.0,0.0
1013,2,0.3402061855670103,0.045662100456621,0.2945440851103893,9101.3330078125,0.03236273768851418,3,18.0,3.0,1.8333332538604736,0.0,0.0,0.0
1013,3,0.3402061855670103,0.045662100456621,0.2945440851103893,10053.3330078125,0.029298149736345928,3,1970.0,2.75,1.5833332538604736,0.0,0.0,0.0
1013,4,0.3402061855670103,0.045662100456621,0.2945440851103893,9789.3330078125,0.030088265951016154,3,706.0,3.0,1.8333332538604736,0.0,0.0,0.0
1014,0,0.4432234432234432,0.045662100456621,0.3975613427668222,12500.0,0.03180490487695339,4,2500.0,3.5,1.5,1.0,0.0,0.0
1022,0,0.36,0.045662100456621,0.314337899543379,10515.3330078125,0.029893287204176083,4,307.0,3.5,1.5833332538604736,1.0,0.0,0.0
1022,1,0.36,0.045662100456621,0.314337899543379,12838.3330078125,0.024484321669158572,5,5.0,3.5,1.8333332538604736,1.0,0.0,1.0
1022,2,0.36,0.045662100456621,0.314337899543379,11583.3330078125,0.027137083272516405,4,2000.0,3.25,1.5833332538604736,0.75,0.0,0.0
1022,3,0.36,0.045662100456621,0.314337899543379,10996.3330078125,0.02858569949949258,4,163.0,3.5,1.8333332538604736,1.0,0.0,0.0
1022,4,0.36,0.045662100456621,0.314337899543379,10843.3330078125,0.028989045188214446,4,885.0,3.5,1.5833332538604736,0.75,0.0,0.0
1033,0,0.42857142857142855,0.045662100456621,0.38290932811480755,14000.0,0.027350664340295944,4,6000.0,2.0,1.3333332538604736,1.6666667461395264,0.0,0.0
1035,0,0.3402061855670103,0.045662100456621,0.2945440851103893,12116.6669921875,0.024309000238374394,5,2200.0,1.0,1.5,1.6666667461395264,-1.0,0.0
1039,0,0.3402061855670103,0.045662100456621,0.2945440851103893,9320.0,0.03160343921748392,4,570.0,2.0,1.5,2.0,0.0,0.0
