base,stack_LR_coef,convex_weight,convex_weight_fold_mean,convex_weight_fold_std
RF,0.674747142750431,0.02978694753309299,0.029790771007022813,0.007252913166893768
NRBoost,0.02709481420372178,0.06030352886118363,0.06060048591399242,0.009876689106270242
MTMLP,0.25850308831309643,7.589415207398531e-19,3.729655473350135e-18,3.791050531303113e-18
SVM,0.018334370126941463,0.9099095236057234,0.9096087430789848,0.008384650252623468
