model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr
Stacking — L2 logistic,0.7839437661857196,0.7512244408260756,0.8145918193727174,0.3085437505798249,0.25666929185939014,0.3726629582700026,0.4074074074074074,0.6893956210271415,0.10961530329460163,0.29163036305884654,0.20000000000000004
RandomForest,0.7825412840951133,0.7496502370387313,0.8148182430019189,0.31070897747132775,0.2587709288893919,0.37308791592093715,0.4024896265560166,0.6841758315676185,0.11036805060495916,0.28460239631912876,0.20000000000000004
Mean-avg of 4 bases,0.7729559748427672,0.7361156699728882,0.8065607313906934,0.308391093985343,0.25495552622901896,0.3710103553662238,0.4190871369294606,0.6988934853529748,0.1112433333045998,0.30734522581991414,0.19000000000000003
NR-Boost (q=0.7),0.7694850839134968,0.7338005615036924,0.8040641250731857,0.3072064013090429,0.2537244302485955,0.3715413512908763,0.40993788819875776,0.6909998991020079,0.11128285116047937,0.2948829301951315,0.20000000000000004
Stacking — convex combo,0.7668213769212658,0.7310998338682548,0.799849488053676,0.3032317246504216,0.2515875194472544,0.36699692723212474,0.40585774058577406,0.6863148690007735,0.11074686462058204,0.2889586409013741,0.19000000000000003
XGBoost,0.7644637271718292,0.7277060816173375,0.7978746160975639,0.2950243466290239,0.24463984867382194,0.35517210022993695,0.40329218106995884,0.6857162075808025,0.1125761775316843,0.285964821937145,0.18000000000000002
LightGBM,0.7549793159116134,0.7161142294184648,0.7885631464443269,0.300947075747956,0.24848510950515063,0.359911014275412,0.4,0.6886052534221235,0.11214189262986088,0.28374941106053075,0.17000000000000004
