model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr
Stacking — L2 logistic,0.7871052366057916,0.7537292166394759,0.8187423981925598,0.31892085786151225,0.264173814493947,0.3850813416600298,0.4317718940936864,0.7124777183600712,0.10915406653576544,0.3257626054980003,0.20000000000000004
Mean-avg of 4 bases,0.7850973665624054,0.7520326078492543,0.8163226015508876,0.3157542568812763,0.26012385555059325,0.3782978674261843,0.4160756501182033,0.6826119126896042,0.10916109610178977,0.3008309110643316,0.20000000000000004
RandomForest,0.7825412840951133,0.7496502370387313,0.8148182430019189,0.31070897747132775,0.2587709288893919,0.37308791592093715,0.4024896265560166,0.6841758315676185,0.11036805060495916,0.28460239631912876,0.20000000000000004
Stacking — convex combo,0.7701846433255979,0.7345046081598572,0.8041982937413166,0.3082520094898123,0.2528655897418941,0.37034406116968127,0.40764331210191085,0.6863787710624558,0.11014795333187334,0.2909712859968873,0.17000000000000004
NR-Boost (q=0.7),0.7694850839134968,0.7338005615036924,0.8040641250731857,0.3072064013090429,0.2537244302485955,0.3715413512908763,0.40993788819875776,0.6909998991020079,0.11128285116047937,0.2948829301951315,0.20000000000000004
MT-MLP (intent-aux),0.7669693606430564,0.731716211501913,0.8002210095915273,0.295810827657186,0.24606287626340137,0.35461098802406504,0.41295546558704455,0.6961557864998487,0.11149724957387232,0.29997992756649766,0.17000000000000004
SVM-RBF,0.7588134396125518,0.7216421606508253,0.7948075843504908,0.2982709389020404,0.2422049491769707,0.35859943466295563,0.4022140221402214,0.6962432314263612,0.11145658404112345,0.2899979063126763,0.16000000000000003
