base,stack_LR_bal_coef,stack_LR_C10_coef,convex_weight,convex_weight_fold_mean,convex_weight_fold_std
RF,0.35387776574186053,0.30930022822069403,0.029197967217270946,0.02951852376498685,0.007249169935819243
NRBoost,0.03393361865429468,0.03492045746384582,0.059448368897807524,0.05969310315556038,0.009941304811819273
MTMLP,0.35197419889475307,0.3950048004838399,0.0,6.689690512864974e-19,8.223236215369359e-19
SVM,-0.16628833034422705,-0.16329903437299728,0.9113536638849216,0.9107883730794528,0.00851369537043237
ET,0.42080735973452815,0.38117269431532824,0.0,3.1773710516905153e-18,4.443965726403993e-18
