model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr,ablation,meta
[C_gcf] Stacking L2 LR (C=10),0.785884370901019,0.7516545990226723,0.8168625329864304,0.31739204540426774,0.26271927511934595,0.38281249781358706,0.41501103752759383,0.6886456126189755,0.11012648052358624,0.299959356824528,0.22000000000000003,C: + gcForest,Stacking L2 LR (C=10)
[E_full] Mean-avg,0.7856623953183333,0.7515158080797721,0.8167129788231877,0.31146588431916866,0.2578094185861651,0.37235143456118464,0.40632054176072235,0.6792755524165068,0.11003468664652374,0.28823967086364977,0.2,E: all 8 (Phase 7 full),Mean-avg
[C_gcf] Mean-avg,0.7854740523996906,0.7522604829511422,0.816845075170442,0.31862526697418075,0.26247331406226054,0.3847668521930498,0.40454545454545454,0.6772004170450341,0.1094050694938565,0.2858911227257834,0.21000000000000002,C: + gcForest,Mean-avg
[E_full] Stacking convex combo,0.7849830155046581,0.752395327443543,0.8160505661884403,0.3132834625025343,0.2595890782813915,0.37621268559481313,0.3972911963882618,0.6719167255238288,0.10989836182111176,0.27640813101955425,0.19,E: all 8 (Phase 7 full),Stacking convex combo
[B_tabpfn] Mean-avg,0.7844617092119867,0.750449404125257,0.816179167502755,0.3110757786333672,0.2580792998138193,0.3733575386002683,0.4134831460674157,0.6855648605926075,0.10962859749086303,0.2976743445293696,0.21000000000000002,B: + TabPFN,Mean-avg
[A_phase6] Stacking L2 LR (C=10),0.7843709010190697,0.7496536346876628,0.815673659774846,0.31291288625657754,0.25951780156347415,0.3763140569521154,0.4251968503937008,0.7107456361618403,0.10997447633101858,0.31871470676255415,0.19,A: Phase 6 CL (5 bases),Stacking L2 LR (C=10)
[B_tabpfn] Stacking L2 LR (C=10),0.7842632764941312,0.7514078486941936,0.8150595747435884,0.31251870929808684,0.2589727014470874,0.37179451182181794,0.3847980997624703,0.657925537281808,0.10989750030935613,0.26084013574376314,0.21000000000000002,B: + TabPFN,Stacking L2 LR (C=10)
[D_knn] Stacking L2 LR (C=10),0.7833854639626004,0.7489628745372342,0.814082498530659,0.3097797042668988,0.25691660218548973,0.37268516983835204,0.4243614931237721,0.7102108768035515,0.11022288899983243,0.31766477299644774,0.17000000000000004,D: + kNN,Stacking L2 LR (C=10)
[A_phase6] Mean-avg,0.7829885985268894,0.748574026121651,0.8148987833388479,0.3115587952147053,0.2575064079406527,0.37342139047986767,0.4110854503464203,0.6809437325530555,0.10973991240647708,0.2943714590679318,0.21000000000000002,A: Phase 6 CL (5 bases),Mean-avg
[E_full] Stacking L2 LR (C=10),0.7829246964652071,0.7494127861774886,0.8139478862382344,0.31282972605703335,0.2592268134246964,0.3719104118726421,0.3894230769230769,0.6605993340732519,0.109587007829726,0.2670230872153293,0.22000000000000003,E: all 8 (Phase 7 full),Stacking L2 LR (C=10)
[D_knn] Mean-avg,0.7828977903339723,0.7490769046676254,0.8146669879734054,0.318845483517337,0.26416003561043044,0.3829896728857969,0.4108352144469526,0.682954965862846,0.10931738908259145,0.2941554407856975,0.21000000000000002,D: + kNN,Mean-avg
[B_tabpfn] Stacking convex combo,0.7822621329835535,0.7488908043049629,0.8132042460491229,0.31276841150834905,0.259211733536901,0.37766359344726924,0.37708830548926014,0.6516362291057074,0.11077488471334138,0.2511120998943228,0.21000000000000002,B: + TabPFN,Stacking convex combo
[E_full] Stacking L2 LR (bal),0.7820704267985068,0.7476235077603566,0.8138482624439984,0.3149363021670414,0.2603340827828339,0.37569098930433925,0.38848920863309355,0.6600645747149632,0.1100378733155388,0.26577651144482045,0.21000000000000002,E: all 8 (Phase 7 full),Stacking L2 LR (bal)
[B_tabpfn] Stacking L2 LR (bal),0.7819459859415465,0.7488249561147252,0.8136428573310995,0.31391038625372625,0.2598853987970057,0.37316139552382194,0.38388625592417064,0.6573907779235193,0.11014879702739079,0.25961827445002417,0.2,B: + TabPFN,Stacking L2 LR (bal)
[base] TabPFN,0.7815390307066223,0.7484184436905041,0.8123082617952265,0.31926731569181765,0.2615595373554082,0.3860423779943444,0.39111111111111113,0.6681734100158073,0.1101582159107771,0.268279461843568,0.21000000000000002,base learner,TabPFN
[A_phase6] Stacking L2 LR (bal),0.7813305081895537,0.7470818012369658,0.8118976897187943,0.3119210941599072,0.2581658934525974,0.37622368286978847,0.41732283464566927,0.7033868092691622,0.10995516886547035,0.3075858103453813,0.17000000000000004,A: Phase 6 CL (5 bases),Stacking L2 LR (bal)
[C_gcf] Stacking L2 LR (bal),0.7812699693942757,0.7467699172819131,0.8121197194452605,0.3145403008075177,0.25841985905465253,0.3817940760578405,0.4151696606786427,0.6997712978845054,0.11022911649817409,0.30377041961696233,0.17000000000000004,C: + gcForest,Stacking L2 LR (bal)
[base] RF,0.7812195203982107,0.7481271180912038,0.8113261175053532,0.3106286490617092,0.26143284953302787,0.37248747597271004,0.40618101545253865,0.6812867857262974,0.11011405537378786,0.2882583214754093,0.2,base learner,RF
[base] ET,0.7801096424847812,0.7453649232518024,0.8116561930170407,0.31194740751529343,0.25542379901730294,0.37460074733639337,0.39111111111111113,0.6681734100158073,0.10947678410380851,0.268279461843568,0.21000000000000002,base learner,ET
[D_knn] Stacking L2 LR (bal),0.7792419197524636,0.7446581293461384,0.8105823516812943,0.30871406608811364,0.25552589524000696,0.3714590858151737,0.4150197628458498,0.7007769145394007,0.11019202391578155,0.30410467796562074,0.17000000000000004,D: + kNN,Stacking L2 LR (bal)
[base] NRBoost,0.7749638448861534,0.7409920093084846,0.8083613953616102,0.30611584130002706,0.2532673080777324,0.3705301430087545,0.41509433962264153,0.6942084552517405,0.11084123345343358,0.3014797014304189,0.2,base learner,NRBoost
[A_phase6] Stacking convex combo,0.7727810849897421,0.7379529166685123,0.8074664549553346,0.31722389247059785,0.2584936009692681,0.3824826300272929,0.40454545454545454,0.6772004170450341,0.11005504991629232,0.2858911227257834,0.21000000000000002,A: Phase 6 CL (5 bases),Stacking convex combo
[C_gcf] Stacking convex combo,0.772121884774493,0.7362816851662807,0.8056732980515171,0.3136669334435424,0.25576724153357155,0.37902120989708593,0.38207547169811323,0.6563212592069418,0.11102618953647847,0.2571888909920503,0.21000000000000002,C: + gcForest,Stacking convex combo
[D_knn] Stacking convex combo,0.7718696397941681,0.7343557928965689,0.8065904504387935,0.3142339177500766,0.254223234044812,0.3747954325754214,0.42105263157894735,0.6989573874146571,0.11007187851129983,0.3094290563425303,0.18000000000000005,D: + kNN,Stacking convex combo
[base] MTMLP,0.7717485622036122,0.7369939360586958,0.8040568089330136,0.3025202105581311,0.25091900036547193,0.36372654613655386,0.4194915254237288,0.6968822520431843,0.11086233456324175,0.3070741412277965,0.18000000000000005,base learner,MTMLP
[base] SVM,0.7638751555510713,0.7274757267568029,0.7993572549512559,0.30558811683808906,0.24764386579602943,0.36770184076487245,0.42016806722689076,0.6984226280563683,0.1106597316586304,0.3083084445607277,0.19,base learner,SVM
[base] KNN,0.75859482729627,0.7205765823970639,0.7972856860896737,0.29807247850966645,0.2437936244057736,0.3590598626567889,0.39195979899497485,0.6591867621834325,0.11167097310561712,0.27155593865658395,0.2,base learner,KNN
[base] GCF,0.7129216695254432,0.673501414432276,0.7544278572376066,0.26621038950501696,0.21660695471223884,0.329658058505714,0.34579439252336447,0.6284263276494131,0.11606311237901722,0.21022546078489165,0.19,base learner,GCF
