ablation,AUC,AUC_lo,AUC_hi,PR_AUC,F1,Bal_Acc,Brier,MCC
base-v3 (rerun),0.7834998150203477,0.7494994295296321,0.8150216832371721,0.3106914887917981,0.4118895966029724,0.690058184508795,0.11025350908058452,0.29671552208178326
+FE,0.7795681565936838,0.7459200384298844,0.8107453373793437,0.30559401985992835,0.3982102908277405,0.6734571015370128,0.11037370200082712,0.2776276286226645
+CL,0.7843709010190697,0.7496536346876628,0.815673659774846,0.31291288625657754,0.4251968503937008,0.7107456361618403,0.10997447633101884,0.31871470676255415
+FE +CL (Phase 6 full),0.7827868025426293,0.7484240352156699,0.814715476351379,0.31368480473434235,0.4025974025974026,0.6801533649480376,0.11007471498734807,0.28377046095427266
