model,display,AUC,AUC_lo,AUC_hi,BalAcc,tau,Sens,Spec,ECE,Brier,HRCF,rank_AUC,rank_BalAcc,rank_ECE,rank_Brier
Phase6-Champion,Phase 6 Stack (ours),0.7843709010190697,0.7496536346876628,0.815673659774846,0.7139777351764033,0.14,0.7295597484276729,0.6983957219251337,0.032052626401121,0.1099744763310189,yes,1,2,8,2
LR,Logistic Regression,0.7665153196784718,0.7298791830357585,0.8012691333535917,0.6939763898698416,0.13,0.6981132075471698,0.6898395721925134,0.0182643607732531,0.1105200947304124,yes,3,6,2,3
RF,Random Forest,0.780856287626543,0.7465025855118158,0.8117447838025745,0.7342817744593549,0.1,0.8364779874213837,0.6320855614973262,0.0250209331751424,0.1095733485785703,no,2,1,6,1
XGB,XGBoost,0.7533884909023644,0.7145277227717831,0.7893413599808502,0.6934651733763831,0.15,0.7484276729559748,0.6385026737967915,0.0250018838129269,0.1128049875877747,no,8,8,5,8
LGBM,LightGBM,0.7593952847005011,0.7209977454578427,0.7942440774844496,0.7065785490868732,0.14,0.7735849056603774,0.6395721925133689,0.0273017673835881,0.1120337647100382,no,6,4,7,7
CatBoost,CatBoost,0.7600881175797936,0.7197425547144949,0.7966475602614154,0.6935929774997478,0.15,0.7358490566037735,0.651336898395722,0.0123938673454512,0.1106975234756829,no,5,7,1,5
kNN,kNN (k=50),0.75859482729627,0.7205765823970639,0.7972856860896737,0.7041603605421585,0.15,0.7484276729559748,0.6598930481283423,0.0228728857334873,0.1116709731056171,no,7,5,4,6
SVM,SVM-RBF,0.7638751555510713,0.7274757267568029,0.7993572549512559,0.7082231863585915,0.15,0.7169811320754716,0.6994652406417112,0.0185198171017303,0.1106597316586304,partial,4,3,3,4
