,RF,NRBoost,MTMLP,SVM,ET,TabPFN,GCF,KNN
RF,0.9999999999999999,0.8926322007507358,0.9057233742667451,0.8876680318434115,0.9507654303477804,0.9295915201201467,0.8047346560366898,0.8507663054125548
NRBoost,0.8926322007507357,1.0,0.7996814606229288,0.8335379053534356,0.8464442252518212,0.844849649189571,0.7226160518561843,0.7511323537537442
MTMLP,0.9057233742667451,0.7996814606229287,1.0,0.8638151041767872,0.9100969919170476,0.8781050803715609,0.7256825539100474,0.8159473104194658
SVM,0.8876680318434116,0.8335379053534355,0.8638151041767871,1.0,0.8886328940800604,0.8672747674592959,0.7397923439824294,0.8484841609844807
ET,0.9507654303477805,0.8464442252518212,0.9100969919170476,0.8886328940800604,1.0,0.90860601883227,0.7723440424898441,0.8741356132791259
TabPFN,0.9295915201201468,0.8448496491895708,0.8781050803715609,0.8672747674592958,0.90860601883227,1.0,0.804579348721901,0.8416260294152058
GCF,0.8047346560366898,0.7226160518561843,0.7256825539100475,0.7397923439824293,0.772344042489844,0.804579348721901,1.0,0.7317028545860593
KNN,0.8507663054125548,0.7511323537537443,0.8159473104194658,0.8484841609844808,0.8741356132791259,0.8416260294152058,0.7317028545860593,1.0
