model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr
RandomForest,0.7825412840951133,0.7496502370387313,0.8148182430019189,0.31070897747132775,0.2587709288893919,0.37308791592093715,0.4024896265560166,0.6841758315676185,0.11036805060495918,0.28460239631912876,0.20000000000000004
NR-Boost + RF ensemble,0.7799616587629906,0.7458801357536169,0.8115695150130596,0.3051215550321073,0.2570032636646325,0.36874544913555296,0.4087912087912088,0.6838966804560589,0.11078554547417806,0.2917836494381731,0.21000000000000002
NR-Boost −self-paced,0.7713550600343052,0.7356266415084151,0.805329370223277,0.30134584753238775,0.24891553456236326,0.3633964410569004,0.4109014675052411,0.6905290418054013,0.11119171675280032,0.29576796006569045,0.20000000000000004
NR-Boost (q=0.7),0.7694850839134968,0.7338005615036924,0.8040641250731857,0.3072064013090429,0.2537244302485955,0.3715413512908763,0.40993788819875776,0.6909998991020079,0.11128285116047937,0.2948829301951315,0.20000000000000004
NR-Boost (q=0.5),0.7665994013385801,0.7299508367559475,0.800721882345822,0.3014694832325825,0.2507981088400222,0.3663113654831383,0.3992740471869328,0.6951098106481014,0.1119459418422321,0.2868150135912021,0.17000000000000004
XGBoost,0.7644637271718292,0.7277060816173375,0.7978746160975639,0.2950243466290239,0.24463984867382194,0.35517210022993695,0.40329218106995884,0.6857162075808025,0.1125761775316843,0.285964821937145,0.18000000000000002
NR-Boost (q=0.3),0.7629973430195406,0.7250528201663753,0.7960081560850791,0.29846797140463804,0.24751975153990924,0.3600913509392298,0.4,0.6624592203948475,0.11227738528312228,0.28285551178726415,0.19000000000000003
NR-Boost −GCE (q≈0),0.7567921165035483,0.7177846809688831,0.7915660397044507,0.29610208462401943,0.24710202138404833,0.3599406748742305,0.401673640167364,0.6826354555544345,0.113306043099853,0.2832521811084953,0.18000000000000002
