criterion,thr,OOF_F1,OOF_Bal_Acc,OOF_MCC,OOF_Precision,OOF_Recall (Sens),OOF_Specificity,OOF_Pred_Pos_Rate,OOF_TP,OOF_FP,OOF_FN,OOF_TN,TEST_F1,TEST_Bal_Acc,TEST_MCC,TEST_Precision,TEST_Recall (Sens),TEST_Specificity,TEST_Pred_Pos_Rate,TEST_TP,TEST_FP,TEST_FN,TEST_TN
F1,0.18500000000000003,0.421875,0.7004539067139388,0.3105995443793749,0.3156664068589244,0.6357927786499215,0.7651150347779562,0.2932571428571429,405,878,232,2860,0.4251968503937008,0.7107456361618403,0.31871470676255415,0.30945558739255014,0.6792452830188679,0.7422459893048128,0.3190127970749543,108,241,51,694
Bal_Acc,0.135,0.4106324472960587,0.7049121290694325,0.3024332708574585,0.28996763754045307,0.7032967032967034,0.7065275548421616,0.35314285714285715,448,1097,189,2641,0.41651705565529623,0.7139777351764033,0.3135138951951833,0.2914572864321608,0.7295597484276729,0.6983957219251337,0.36380255941499084,116,282,43,653
MCC,0.18500000000000003,0.421875,0.7004539067139388,0.3105995443793749,0.3156664068589244,0.6357927786499215,0.7651150347779562,0.2932571428571429,405,878,232,2860,0.4251968503937008,0.7107456361618403,0.31871470676255415,0.30945558739255014,0.6792452830188679,0.7422459893048128,0.3190127970749543,108,241,51,694
Youden_J,0.135,0.4106324472960587,0.7049121290694325,0.3024332708574585,0.28996763754045307,0.7032967032967034,0.7065275548421616,0.35314285714285715,448,1097,189,2641,0.41651705565529623,0.7139777351764033,0.3135138951951833,0.2914572864321608,0.7295597484276729,0.6983957219251337,0.36380255941499084,116,282,43,653
