baseline,AUC_baseline,AUC_champion,delta,z,p_value,champion_better_p05
LR,0.7665153196784718,0.7843709010190697,-0.017855581340597948,-1.8179064199521247,0.06907843691779059,False
RF,0.7808562876265429,0.7843709010190697,-0.0035146133925267886,-0.6775780404600801,0.4980392733527774,False
XGB,0.7533884909023644,0.7843709010190697,-0.030982410116705328,-2.9605399461369135,0.0030710029368499203,True
LGBM,0.7593952847005011,0.7843709010190697,-0.024975616318568594,-2.467798399157009,0.013594686015215185,True
CatBoost,0.7600881175797934,0.7843709010190697,-0.024282783439276256,-2.6008556846581183,0.009299156412371223,True
kNN,0.7585948272962701,0.7843709010190697,-0.025776073722799553,-2.5093331232727065,0.01209593532763642,True
SVM,0.7638751555510712,0.7843709010190697,-0.020495745467998483,-2.5145436666278878,0.011918654189389422,True
