champion,baseline,AUC_champ,AUC_base,ΔAUC,z,p_value,significant_05
NR-Forest + RF avg,XGBoost,0.7818888104126728,0.7644637271718293,0.017425083240843464,1.6382673791386582,0.10136592940310374,False
NR-Forest + RF avg,NRF q0.5 T5 b0.5,0.7818888104126728,0.785265529882622,-0.0033767194699492187,-1.4860935195468066,0.13725438618676833,False
NR-Forest + RF avg,NRF q0.5 T3 b0.3,0.7818888104126728,0.7843641744862611,-0.002475364073588282,-0.8890489391134945,0.373976778899491,False
NR-Forest + RF avg,NRF q0.5 T5 b0.3,0.7818888104126728,0.7800188342918642,0.0018699761208085253,0.587519407142303,0.556854920312178,False
NR-Forest + RF avg,NRF q0.7 T5 b0.3,0.7818888104126728,0.7831298557158712,-0.0012410453031984625,-0.44275640745699557,0.6579419374026241,False
NR-Forest + RF avg,NRF q0.5 T5 b0.0,0.7818888104126728,0.7829818719940806,-0.0010930615814078726,-0.31200475291455904,0.7550369112170376,False
NR-Forest + RF avg,NRF q0.5 T10 b0.3,0.7818888104126728,0.781132075471698,0.0007567349409747237,0.21583382246983673,0.8291172831025624,False
NR-Forest + RF avg,RandomForest,0.7818888104126728,0.7825412840951131,-0.0006524736824403687,-0.19649526038827672,0.8442225420219671,False
NRF q0.7 T5 b0.3,XGBoost,0.7831298557158712,0.7644637271718293,0.018666128544041927,1.64428903909046,0.10011651234705932,False
NRF q0.7 T5 b0.3,NRF q0.5 T5 b0.3,0.7831298557158712,0.7800188342918642,0.0031110214240069878,1.1766847389028088,0.23932136130220938,False
NRF q0.7 T5 b0.3,NRF q0.5 T10 b0.3,0.7831298557158712,0.781132075471698,0.0019977802441731862,0.7966096610156971,0.42567776479966435,False
NRF q0.7 T5 b0.3,NRF q0.5 T5 b0.5,0.7831298557158712,0.785265529882622,-0.002135674166750756,-0.770695172691595,0.44088763391761754,False
NRF q0.7 T5 b0.3,NR-Forest + RF avg,0.7831298557158712,0.7818888104126728,0.0012410453031984625,0.44275640745699557,0.6579419374026241,False
NRF q0.7 T5 b0.3,NRF q0.5 T3 b0.3,0.7831298557158712,0.7843641744862611,-0.0012343187703898195,-0.42329713413069586,0.672078484975307,False
NRF q0.7 T5 b0.3,RandomForest,0.7831298557158712,0.7825412840951131,0.0005885716207580938,0.14819424488876712,0.8821894735835198,False
NRF q0.7 T5 b0.3,NRF q0.5 T5 b0.0,0.7831298557158712,0.7829818719940806,0.00014798372179058994,0.055567665348628684,0.9556862240020827,False
