champion,baseline,AUC_champ,AUC_base,ΔAUC,z,p_value,significant_05
E_full L2-LR C=10,A_phase6 L2-LR C=10,0.782924696465207,0.7843709010190697,-0.0014462045538626844,-0.3231804753937877,0.7465585665723928,False
E_full L2-LR C=10,B_tabpfn L2-LR C=10,0.782924696465207,0.7842632764941311,-0.0013385800289240635,-0.6521101618727873,0.5143301090581585,False
E_full L2-LR C=10,C_gcf L2-LR C=10,0.782924696465207,0.785884370901019,-0.002959674435812021,-0.6796013835243445,0.49675689340916573,False
E_full L2-LR C=10,D_knn L2-LR C=10,0.782924696465207,0.7833854639626004,-0.0004607674973934328,-0.10615584142901106,0.9154587063418487,False
E_full L2-LR C=10,RandomForest (calibrated),0.782924696465207,0.7812195203982107,0.0017051760669962723,0.31304391960209293,0.7542472947953771,False
E_full L2-LR C=10,TabPFN solo (calibrated),0.782924696465207,0.7815390307066222,0.0013856657585847865,0.417482567568125,0.6763254725243555,False
E_full L2-LR C=10,GCF solo (calibrated),0.782924696465207,0.7129216695254431,0.0700030269397639,4.876753018304514,1.0784632904492497e-06,True
E_full L2-LR C=10,KNN solo (calibrated),0.782924696465207,0.7585948272962701,0.02432986916893687,2.2338332173899063,0.025494049029157972,True
E_full L2-LR C=10,Phase 5 stack L2-LR C=10 (persisted),0.7829246964652071,0.7834998150203477,-0.0005751185551405857,,,False
E_full L2-LR C=10,Phase 6 +CL L2-LR C=10 (persisted),0.7829246964652071,0.7843709010190697,-0.0014462045538625734,,,False
