ablation,AUC,AUC_lo,AUC_hi,PR_AUC,F1,Bal_Acc,Brier,MCC,thr
A: Phase 6 CL (5 bases),0.7843709010190697,0.7496536346876628,0.815673659774846,0.31291288625657754,0.4251968503937008,0.7107456361618403,0.10997447633101858,0.31871470676255415,0.19
B: + TabPFN,0.7842632764941312,0.7514078486941936,0.8150595747435884,0.31251870929808684,0.3847980997624703,0.657925537281808,0.10989750030935613,0.26084013574376314,0.21000000000000002
C: + gcForest,0.785884370901019,0.7516545990226723,0.8168625329864304,0.31739204540426774,0.41501103752759383,0.6886456126189755,0.11012648052358624,0.299959356824528,0.22000000000000003
D: + kNN,0.7833854639626004,0.7489628745372342,0.814082498530659,0.3097797042668988,0.4243614931237721,0.7102108768035515,0.11022288899983243,0.31766477299644774,0.17000000000000004
E: all 8 (Phase 7 full),0.7829246964652071,0.7494127861774886,0.8139478862382344,0.31282972605703335,0.3894230769230769,0.6605993340732519,0.109587007829726,0.2670230872153293,0.22000000000000003
