model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr
"MLP (binary only, no intent)",0.7717283826051862,0.7376921597513552,0.8040373169434364,0.3040377065284573,0.2542191611346061,0.3735971552624115,0.4019138755980861,0.6705680556956917,0.200907324908132,0.28283877163605314,0.6200000000000001
"MT-MLP (lam=0.7, no intent)",0.7702552719200888,0.7348813497491788,0.8034957065495221,0.3093297306027823,0.2560370945979946,0.37921107573131796,0.40601503759398494,0.669690243164161,0.1990306189528544,0.28903915510377626,0.6300000000000001
XGBoost,0.7666229442034104,0.729146203302329,0.799993764084116,0.3093020374289028,0.25558431883215577,0.3786800797517239,0.40329218106995884,0.6857162075808025,0.162948792644168,0.285964821937145,0.4700000000000001
LightGBM,0.7638179800221977,0.7261283983107018,0.7978756575165041,0.3126577087780792,0.2574703751515712,0.3846450887381087,0.398406374501992,0.6845188847408603,0.1650810900720986,0.28035490303951666,0.45000000000000007
CatBoost,0.7709951905290418,0.7348974696856189,0.8050092382274702,0.3118725104538912,0.2564508071853,0.37875977114708587,0.41570438799076215,0.6846231459993946,0.1693189155467053,0.3003573768415436,0.55
Voting (XGB+LGB+CAT),0.7707059496182692,0.7331297299843187,0.8035701564242976,0.31328988029180954,0.2601742075526235,0.38327469515021256,0.3992015968063872,0.685053644099149,0.16348156003035785,0.28139088905627296,0.4600000000000001
Voting (MT+XGB+LGB+CAT),0.7793562708102109,0.7445348420854448,0.8109920957318413,0.3143270563687882,0.26247878908283506,0.3830390006815992,0.4091858037578288,0.6894595230888239,0.16636232217087282,0.2935657148401079,0.5000000000000001
