df_idx,train_local_idx,离职行为,离职意向,oof_prob_1,quality_score,sample_weight
3096,2464,0,3.75,0.8294948001717376,0.1705051998282624,0.3
3663,2917,0,4.0,0.8285857716768228,0.1714142283231772,0.3
3423,2724,0,5.0,0.8273542777464405,0.17264572225355945,0.3
4123,3288,0,3.5,0.8220251355212246,0.17797486447877542,0.3
978,787,0,4.0,0.8187041053641512,0.18129589463584883,0.3
1499,1210,0,4.0,0.8093617723051095,0.19063822769489047,0.3
1485,1199,0,4.5,0.8081123879403593,0.19188761205964067,0.3
3633,2893,0,3.5,0.803859174431368,0.196140825568632,0.3
3922,3132,0,3.75,0.7993177975300197,0.20068220246998025,0.3
3307,2631,0,4.0,0.7987845620499315,0.20121543795006847,0.3
3195,2540,0,4.0,0.7986659481639683,0.2013340518360317,0.3
2970,2358,0,4.0,0.794789699991086,0.20521030000891405,0.3
440,358,0,3.5,0.7934632559370486,0.20653674406295142,0.3
1321,1062,0,4.25,0.7914311960563161,0.20856880394368393,0.3
1442,1164,0,3.5,0.7914231902108047,0.20857680978919535,0.3
4258,3389,0,3.5,0.7862909402339288,0.21370905976607124,0.3
3702,2952,0,4.0,0.7836125974923813,0.21638740250761868,0.3
2126,1700,0,3.5,0.7829787190750686,0.21702128092493145,0.3
911,731,0,4.0,0.7767279576835435,0.22327204231645648,0.3
3787,3018,0,4.0,0.7752425497170456,0.22475745028295435,0.3
589,476,0,4.75,0.7696579945563681,0.23034200544363193,0.3
4425,3533,0,4.0,0.7678961966009515,0.23210380339904846,0.3
1349,1084,0,3.75,0.7677161234903614,0.23228387650963855,0.3
1181,948,0,4.0,0.7669324835818171,0.2330675164181829,0.3
1435,1157,0,4.5,0.7637894290002518,0.23621057099974818,0.3
3862,3080,0,4.0,0.7624653001320958,0.2375346998679042,0.3
2289,1830,0,3.75,0.7598100664251917,0.24018993357480833,0.3
3212,2556,0,4.25,0.757513404364597,0.24248659563540298,0.3
631,508,0,4.0,0.756994535700042,0.24300546429995795,0.3
1227,988,0,3.5,0.7564539787740411,0.24354602122595892,0.3
3889,3104,0,4.25,0.7558383130515384,0.24416168694846163,0.3
3328,2649,0,4.5,0.7540675899541956,0.24593241004580435,0.3
997,803,0,3.75,0.7540144389822924,0.24598556101770763,0.3
1203,968,0,3.5,0.7516562913788439,0.24834370862115607,0.3
4292,3418,0,4.0,0.7515464476513282,0.24845355234867184,0.3
1475,1191,0,3.75,0.7506556421182197,0.24934435788178033,0.3
780,623,0,3.5,0.7504172169100398,0.24958278308996018,0.3
4169,3323,0,3.75,0.750271391763249,0.24972860823675103,0.3
785,627,0,3.5,0.7488332637679207,0.2511667362320793,0.3
1444,1166,0,4.0,0.7471611439882089,0.2528388560117911,0.3
707,568,0,3.75,0.7469718937091718,0.25302810629082817,0.3
3035,2414,0,4.0,0.7446311162256097,0.25536888377439027,0.3
958,770,0,4.0,0.7432142090778838,0.2567857909221162,0.3
3726,2971,0,3.75,0.7417741826737749,0.25822581732622507,0.3
890,714,0,4.0,0.7414793303643882,0.2585206696356118,0.3
3886,3101,0,4.25,0.7414505394399837,0.25854946056001626,0.3
1471,1188,0,4.0,0.7393448152207628,0.2606551847792372,0.3
3885,3100,0,4.0,0.7383463373206368,0.2616536626793632,0.3
4259,3390,0,3.75,0.7371442244858405,0.2628557755141595,0.3
4092,3265,0,3.5,0.7342597509139246,0.2657402490860754,0.3
1566,1267,0,4.0,0.7335008271730008,0.2664991728269992,0.3
3206,2550,0,3.5,0.7323276059283785,0.26767239407162147,0.3
3299,2626,0,4.25,0.7313715461887991,0.26862845381120093,0.3
3093,2461,0,3.5,0.73125277307402,0.26874722692597997,0.3
927,744,0,5.0,0.7303959860813167,0.26960401391868327,0.3
4309,3432,0,3.5,0.7247635279043025,0.27523647209569746,0.3
4338,3457,0,4.25,0.7169739922611897,0.28302600773881026,0.3
710,570,0,4.25,0.7168317524745079,0.2831682475254921,0.3
3910,3122,0,4.0,0.7151916829812862,0.2848083170187138,0.3
4211,3352,0,3.75,0.7148791176843278,0.28512088231567223,0.3
2161,1722,0,4.0,0.7147819127610647,0.28521808723893527,0.3
1413,1138,0,4.25,0.7144963539720867,0.28550364602791334,0.3
3745,2984,0,3.5,0.7139082520979569,0.28609174790204306,0.3
2147,1713,0,3.75,0.7138515419094672,0.2861484580905328,0.3
4382,3493,0,3.5,0.7117240523474183,0.2882759476525817,0.3
3774,3007,0,3.75,0.7100111774557404,0.2899888225442596,0.3
2167,1727,0,3.5,0.7090044483920731,0.2909955516079269,0.3
4244,3377,0,4.0,0.7084328972335985,0.2915671027664015,0.3
1179,946,0,4.5,0.7053733142451332,0.29462668575486683,0.3
4267,3396,0,4.25,0.700142414737555,0.299857585262445,0.3
3821,3048,0,3.5,0.6948373893905153,0.3051626106094847,0.3
1416,1140,0,4.0,0.6934689858691706,0.3065310141308294,0.3
1350,1085,0,5.0,0.6925084577780154,0.3074915422219846,0.3
607,490,0,3.75,0.6915309486546094,0.3084690513453906,0.3
3669,2923,0,3.5,0.6914859019257077,0.3085140980742923,0.3
957,769,0,3.5,0.6856006109613307,0.31439938903866926,0.3
3879,3095,0,3.75,0.6852783393544302,0.31472166064556983,0.3
4303,3427,0,3.5,0.6851581510728926,0.3148418489271074,0.3
1178,945,0,4.0,0.6813304302961899,0.3186695697038101,0.3
1022,823,0,4.0,0.678766324856149,0.32123367514385104,0.3
408,329,0,3.5,0.6779672498446239,0.32203275015537614,0.3
3908,3120,0,4.0,0.6774990222425546,0.32250097775744535,0.3
4108,3278,0,4.0,0.6772142580985652,0.32278574190143483,0.3
465,381,0,4.0,0.6763431565724359,0.32365684342756407,0.3
3103,2469,0,3.5,0.6751468281573587,0.3248531718426413,0.3
3613,2876,0,3.5,0.6735497295338471,0.32645027046615294,0.3
3797,3027,0,3.5,0.6735373721945064,0.3264626278054936,0.3
835,670,0,3.75,0.6732052252101021,0.32679477478989793,0.3
1277,1029,0,4.25,0.6729412540837302,0.3270587459162698,0.3
892,716,0,3.75,0.6718409571179,0.32815904288209996,0.3
4332,3453,0,4.5,0.6709881497042839,0.3290118502957161,0.3
993,800,0,3.5,0.6683455651271282,0.33165443487287183,0.3
1569,1269,0,4.25,0.6663879463437749,0.33361205365622515,0.3
4174,3327,0,3.5,0.6653865207833999,0.3346134792166001,0.3
4081,3256,0,4.0,0.6634460201612078,0.3365539798387922,0.3
3903,3115,0,4.0,0.662667190874136,0.33733280912586405,0.3
1565,1266,0,5.0,0.6623821853365073,0.3376178146634927,0.3
2428,1947,0,3.5,0.6621827754111667,0.33781722458883334,0.3
3158,2509,0,4.0,0.6621133155171703,0.33788668448282966,0.3
904,724,0,3.75,0.6616250228023993,0.3383749771976007,0.3
1048,845,0,3.75,0.6608202585582654,0.3391797414417346,0.3
688,552,0,4.0,0.6603087433530186,0.3396912566469814,0.3
2099,1677,0,4.0,0.6593132251601594,0.34068677483984056,0.3
3293,2621,0,3.75,0.6591309362679979,0.3408690637320021,0.3
1575,1271,0,5.0,0.6588372278273218,0.3411627721726782,0.3
520,423,0,4.25,0.6573612098372549,0.3426387901627451,0.3
3896,3109,0,4.0,0.6568296066242029,0.34317039337579713,0.3
30,24,0,3.75,0.6545700429297644,0.3454299570702356,0.3
965,776,0,4.25,0.6541836313763351,0.34581636862366494,0.3
1718,1382,0,4.0,0.653994064968783,0.346005935031217,0.3
1362,1095,0,4.0,0.6489125946655391,0.3510874053344609,0.3
3916,3127,0,3.75,0.6487187164288096,0.3512812835711904,0.3
988,796,0,4.5,0.6483398924880022,0.35166010751199783,0.3
4175,3328,0,3.5,0.6474204534466327,0.3525795465533673,0.3
701,562,0,3.75,0.6471753137565764,0.35282468624342356,0.3
3089,2458,0,3.75,0.6471459013624122,0.35285409863758777,0.3
3958,3164,0,4.0,0.6464626671758869,0.35353733282411315,0.3
1389,1116,0,4.0,0.6456340999897323,0.3543659000102677,0.3
4290,3417,0,4.5,0.6432687965656728,0.3567312034343272,0.3
4377,3488,0,4.5,0.642926748086786,0.35707325191321404,0.3
856,687,0,3.75,0.6418643545808898,0.35813564541911025,0.3
2778,2226,0,3.5,0.6411731537431833,0.3588268462568167,0.3
909,729,0,4.0,0.6402971860918909,0.3597028139081091,0.3
1031,829,0,4.25,0.640008976484095,0.35999102351590495,0.3
1117,900,0,4.75,0.6397492722250824,0.3602507277749176,0.3
3340,2660,0,3.5,0.6392915465436719,0.36070845345632807,0.3
4302,3426,0,3.75,0.6327826907402685,0.3672173092597315,0.3
772,616,0,5.0,0.6315510821056557,0.3684489178943443,0.3
4429,3536,0,4.25,0.631024274016083,0.36897572598391704,0.3
873,700,0,5.0,0.6300511132938349,0.3699488867061651,0.3
1434,1156,0,4.0,0.6294294525099007,0.3705705474900993,0.3
1481,1196,0,4.25,0.6292043210522932,0.3707956789477068,0.3
4232,3367,0,3.5,0.6274808570728551,0.37251914292714494,0.3
4386,3497,0,4.0,0.6274430724034148,0.3725569275965852,0.3
3968,3172,0,3.5,0.6261669547570041,0.3738330452429959,0.3
4281,3409,0,3.5,0.6260394492978455,0.3739605507021545,0.3
1557,1258,0,4.0,0.6256820014594047,0.37431799854059533,0.3
3915,3126,0,3.75,0.625676574398163,0.37432342560183696,0.3
458,374,0,4.25,0.6254774975019992,0.3745225024980008,0.3
702,563,0,3.5,0.6231276854012723,0.3768723145987277,0.3
534,433,0,4.5,0.6220221041624169,0.3779778958375831,0.3
4269,3398,0,4.0,0.6204995171744506,0.3795004828255494,0.3
3831,3057,0,3.5,0.6196676811549529,0.38033231884504715,0.3
4421,3530,0,4.5,0.619298920751064,0.38070107924893604,0.3
3184,2530,0,3.75,0.6190885371764329,0.38091146282356714,0.3
382,308,0,3.5,0.6188927582318445,0.38110724176815547,0.3
3945,3152,0,4.25,0.61653690200023,0.38346309799976996,0.3
2050,1641,0,3.75,0.6164721556988433,0.3835278443011567,0.3
1338,1075,0,3.75,0.6130864434949409,0.3869135565050591,0.3
2107,1683,0,3.5,0.610707999812555,0.38929200018744503,0.3
3521,2800,0,3.5,0.6081596880543609,0.39184031194563906,0.3
4113,3281,0,4.0,0.6078887806080474,0.3921112193919526,0.3
187,149,0,3.75,0.6078579793184447,0.39214202068155535,0.3
1394,1121,0,3.75,0.6070690303604992,0.3929309696395008,0.3
4053,3239,0,4.25,0.6069521132478866,0.39304788675211344,0.3
968,779,0,4.0,0.6069187291849633,0.39308127081503674,0.3
3848,3069,0,4.25,0.6061276722630201,0.3938723277369799,0.3
3838,3064,0,3.75,0.6054222294136946,0.3945777705863054,0.3
4372,3485,0,4.5,0.6036911955675965,0.39630880443240346,0.3
3167,2518,0,3.5,0.602958683109434,0.397041316890566,0.3
3906,3118,0,3.75,0.6026252391398577,0.39737476086014234,0.3
4306,3429,0,3.75,0.601348238886462,0.39865176111353795,0.3
1187,953,0,4.5,0.6008340666994374,0.3991659333005626,0.3
3971,3174,0,4.75,0.5993347728964381,0.4006652271035619,0.3
983,791,0,4.0,0.5977939988031487,0.40220600119685135,0.3
799,639,0,3.75,0.5976515907491431,0.4023484092508569,0.3
4379,3490,0,5.0,0.5968963271389174,0.4031036728610826,0.3
4251,3383,0,3.75,0.596215951991542,0.403784048008458,0.3
3100,2466,0,3.75,0.5957782931785789,0.4042217068214211,0.3
1351,1086,0,4.25,0.5956433319214613,0.40435666807853865,0.3
566,457,0,3.75,0.5953141018078942,0.40468589819210576,0.3
3585,2852,0,3.75,0.5951724985319053,0.40482750146809465,0.3
4432,3539,0,4.25,0.5951628680094967,0.4048371319905033,0.3
4119,3284,0,3.5,0.594666789811966,0.40533321018803403,0.3
1128,909,0,4.75,0.5946211758589536,0.4053788241410464,0.3
3795,3025,0,3.75,0.5936272391035634,0.4063727608964366,0.3
3203,2547,0,4.5,0.5935075611183319,0.4064924388816681,0.3
1042,840,0,3.75,0.5929602048116718,0.4070397951883282,0.3
1414,1139,0,4.75,0.5919434176111263,0.40805658238887366,0.3
840,675,0,4.25,0.5909302908007844,0.4090697091992156,0.3
1123,904,0,4.25,0.5906424175699798,0.4093575824300202,0.3
387,312,0,3.75,0.5905073133379115,0.4094926866620885,0.3
3684,2935,0,3.5,0.5897587294220298,0.4102412705779702,0.3
912,732,0,4.75,0.5882895909491949,0.41171040905080514,0.3
1406,1132,0,4.0,0.5880919898292314,0.4119080101707686,0.3
3256,2592,0,3.5,0.5869712764388201,0.4130287235611799,0.3
552,447,0,3.5,0.5864534486895989,0.4135465513104011,0.3
4308,3431,0,3.5,0.5853114454797841,0.4146885545202159,0.3
850,684,0,4.0,0.5846230230856058,0.41537697691439424,0.3
4322,3444,0,3.5,0.5840904742170338,0.41590952578296625,0.3
4356,3472,0,4.75,0.5837001733552636,0.4162998266447364,0.3
1578,1274,0,5.0,0.5823886714975621,0.4176113285024379,0.3
1086,870,0,4.75,0.5803677328623587,0.41963226713764135,0.3
3909,3121,0,4.5,0.578066356721101,0.42193364327889904,0.3
3722,2968,0,4.25,0.5777198579917536,0.4222801420082464,0.3
3946,3153,0,4.25,0.5769136501825232,0.42308634981747684,0.3
2770,2221,0,3.5,0.5767498643001722,0.42325013569982783,0.3
3819,3046,0,5.0,0.5750654106224539,0.42493458937754613,0.3
454,371,0,4.25,0.5713434388304277,0.4286565611695723,0.3
1538,1242,0,4.75,0.571171486601965,0.42882851339803496,0.3
4420,3529,0,3.5,0.5711109544214573,0.4288890455785427,0.3
1189,955,0,5.0,0.5689672899648778,0.4310327100351222,0.3
931,747,0,5.0,0.5679778821835066,0.43202211781649336,0.3
3849,3070,0,4.0,0.567568851833245,0.432431148166755,0.3
4401,3511,0,4.5,0.5673980052601653,0.43260199473983474,0.3
3681,2932,0,3.75,0.5672072124256713,0.4327927875743287,0.3
3942,3150,0,4.75,0.5671048768895433,0.43289512311045675,0.3
4431,3538,0,4.5,0.5660267147827953,0.4339732852172047,0.3
1357,1091,0,4.5,0.5657478627932617,0.4342521372067383,0.3
1111,894,0,4.0,0.5657267370751515,0.43427326292484847,0.3
1330,1069,0,4.25,0.5607053861404591,0.43929461385954094,0.3
3673,2926,0,3.5,0.5599196627687009,0.44008033723129913,0.3
4310,3433,0,3.5,0.5595810723052035,0.4404189276947965,0.3
3877,3093,0,4.0,0.5580128173447659,0.44198718265523407,0.3
1398,1124,0,4.0,0.5579369410484939,0.4420630589515061,0.3
2973,2361,0,4.25,0.5572723064586357,0.4427276935413643,0.3
3415,2719,0,3.5,0.5562510400827443,0.4437489599172557,0.3
460,376,0,3.5,0.5547375223015285,0.4452624776984715,0.3
430,349,0,3.5,0.5546470625183275,0.4453529374816725,0.3
4284,3411,0,3.75,0.5528374752408474,0.44716252475915264,0.3
1080,866,0,4.0,0.5527577460518716,0.44724225394812844,0.3
1988,1594,0,3.5,0.5522897163649436,0.4477102836350564,0.3
93,76,0,3.5,0.551751886771097,0.448248113228903,0.3
4300,3424,0,3.75,0.5511242413550803,0.4488757586449197,0.3
3159,2510,0,4.0,0.5497856841056656,0.45021431589433436,0.3
1558,1259,0,4.0,0.5487877697487751,0.4512122302512249,0.3
1020,822,0,3.5,0.547382421230727,0.452617578769273,0.3
506,411,0,4.75,0.5466376423066915,0.45336235769330846,0.3
2032,1629,0,3.5,0.5453372731783985,0.45466272682160147,0.3
1543,1244,0,5.0,0.5452086771967262,0.45479132280327383,0.3
1099,883,0,3.75,0.5433099564985223,0.4566900435014777,0.3
687,551,0,3.75,0.542871865768335,0.457128134231665,0.3
847,681,0,4.0,0.5404844829900868,0.4595155170099132,0.3
1040,838,0,4.25,0.5393415261885829,0.4606584738114171,0.3
1361,1094,0,3.75,0.5390198988200464,0.4609801011799536,0.3
1009,815,0,3.5,0.5386190132789068,0.4613809867210932,0.3
949,764,0,3.5,0.5383290971870318,0.4616709028129682,0.3
678,543,0,4.25,0.5381881148300323,0.46181188516996774,0.3
3904,3116,0,4.0,0.5376522767033989,0.4623477232966011,0.3
3610,2873,0,3.5,0.5375873072171801,0.46241269278281993,0.3
3907,3119,0,3.75,0.537138146878086,0.46286185312191397,0.3
1268,1022,0,3.75,0.5370215890056085,0.4629784109943915,0.3
864,693,0,4.5,0.5362636894860384,0.4637363105139616,0.3
1206,971,0,4.0,0.5361870013456479,0.4638129986543521,0.3
1223,984,0,4.0,0.5360682509414895,0.46393174905851053,0.3
1377,1106,0,4.5,0.5359097683182847,0.46409023168171526,0.3
1355,1089,0,4.0,0.5331945196486806,0.4668054803513194,0.3
4240,3374,0,4.0,0.5324317315915008,0.4675682684084992,0.3
3966,3170,0,4.75,0.5323851372624947,0.4676148627375053,0.3
3081,2452,0,3.5,0.5323025098408452,0.46769749015915485,0.3
4170,3324,0,3.5,0.5314981920940351,0.46850180790596485,0.3
1100,884,0,4.0,0.5312900091784342,0.46870999082156584,0.3
1454,1175,0,4.0,0.5301164348682635,0.46988356513173646,0.3
292,231,0,3.5,0.5298606306943413,0.4701393693056587,0.3
513,416,0,3.5,0.5298055771305374,0.47019442286946256,0.3
3105,2470,0,4.25,0.5294737735912483,0.47052622640875175,0.3
4280,3408,0,4.25,0.5291379822159521,0.4708620177840479,0.3
708,569,0,4.0,0.528573353619653,0.47142664638034704,0.3
3567,2839,0,4.0,0.5278836797341452,0.4721163202658548,0.3
706,567,0,4.0,0.5268792848408583,0.47312071515914167,0.3
1095,879,0,5.0,0.5268660909770475,0.4731339090229525,0.3
1560,1261,0,4.0,0.5246058531760144,0.4753941468239856,0.3
3532,2809,0,3.5,0.5243394018415127,0.47566059815848727,0.3
3211,2555,0,4.25,0.5237747813840143,0.47622521861598566,0.3
1198,963,0,3.75,0.5229487203500763,0.47705127964992367,0.3
1053,849,0,4.5,0.5212566031541912,0.4787433968458088,0.3
4405,3515,0,5.0,0.5202721929432985,0.4797278070567015,0.3
1308,1053,0,3.5,0.5199389093635617,0.4800610906364383,0.3
3688,2939,0,3.5,0.5185760225787504,0.48142397742124965,0.3
1987,1593,0,4.0,0.5181904246272715,0.4818095753727285,0.3
3576,2848,0,3.5,0.516953991382361,0.483046008617639,0.3
3853,3073,0,4.0,0.5168552112314844,0.48314478876851563,0.3
4150,3306,0,3.5,0.514935661557976,0.485064338442024,0.3
3694,2945,0,3.5,0.5145373132510216,0.4854626867489784,0.3
1058,854,0,4.0,0.5142462092453668,0.4857537907546332,0.3
1579,1275,0,4.5,0.5142192992218565,0.4857807007781435,0.3
1046,843,0,3.75,0.5141359522880369,0.4858640477119631,0.3
1423,1147,0,4.5,0.5137740201925509,0.4862259798074491,0.3
3210,2554,0,4.0,0.5128956649175457,0.4871043350824543,0.3
634,511,0,3.5,0.5127390945052904,0.4872609054947096,0.3
942,758,0,3.75,0.5126423175789319,0.48735768242106814,0.3
1452,1173,0,3.75,0.5121146676620377,0.4878853323379623,0.3
4325,3447,0,3.5,0.5116753105622778,0.4883246894377222,0.3
4151,3307,0,4.75,0.5114573748813787,0.48854262511862134,0.3
903,723,0,4.25,0.5114304084477789,0.4885695915522211,0.3
1427,1151,0,4.0,0.5093263171915204,0.49067368280847956,0.3
